NewRollNo,Class,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Question36,Question37,Question38,Question39,Question40,Question41,Question42,Question43,Question44,Question45,Question46,Question47,Question48,Question49,Question50,Question51,Question52,Question53,Question54,Question55,Question56,Question57,Question58,Question59,Question60,Question61,Question62,Question63,Question64,Question65,Question66,Question67,Question68,Question69,Question70,Question71,Question72,Question73,Question74,Question75,Question76,Question77,Question78,Question79,Question80,Question81,Question82,Question83,Question84,Question85,Question86,Question87,Question88,Question89,Question90
2118,6,A,D,C,C,B,A,A,C,C,A,D,D,D,E,B,C,A,B,B,D,E,B,C,D,B,C,B,A,A,C,B,A,E,A,B,B,B,D,A,A,D,B,C,B,B,D,B,D,"B,C","A,B","C,D",B,D,C,A,B,E,D,A,D,A,B,"A,B",A,"A,C",C,B,B,D,B,C,B,C,B,B,A,D,B,A,E,,,,,,,,,,
2119,6,C,D,E,B,D,A,C,E,C,C,D,B,A,E,C,D,E,E,B,E,A,E,A,D,A,D,B,D,E,D,"B,C",C,A,D,B,D,C,"A,D",A,D,A,C,B,E,B,C,A,D,B,D,A,E,E,C,A,B,A,E,C,A,A,B,C,C,B,B,"A,B",B,A,B,C,A,C,D,E,A,A,A,D,B,,,,,,,,,,
2120,6,C,D,B,B,B,D,A,B,C,A,D,C,D,E,C,C,A,C,E,E,E,C,A,D,B,C,E,A,C,C,D,E,B,E,C,A,A,E,B,B,D,D,C,C,D,E,C,E,C,D,C,B,D,D,A,B,C,C,A,D,A,D,B,C,B,C,A,D,D,B,E,C,D,D,"A,B,E",E,D,C,A,C,,,,,,,,,,
2122,6,C,D,A,B,C,D,A,A,C,D,D,C,C,B,C,A,A,B,D,B,C,B,"A,D",B,B,C,A,D,D,B,D,D,B,C,B,C,B,C,A,D,D,B,D,B,C,B,B,D,A,C,A,B,B,A,A,A,B,A,A,B,D,D,B,A,A,C,B,D,A,B,C,A,C,C,A,A,B,B,"A,D",C,,,,,,,,,,
2123,6,C,D,C,E,D,B,B,D,C,A,D,E,A,"C,E",E,E,A,E,A,B,C,A,C,D,B,C,B,D,D,D,E,C,B,D,B,E,E,"A,E",A,A,A,B,C,A,C,B,B,B,D,A,A,A,C,D,C,A,A,A,A,E,A,B,"B,C",A,A,C,B,B,A,A,C,A,C,B,E,D,A,B,B,C,,,,,,,,,,
2125,6,C,D,A,E,D,D,A,E,C,A,D,C,A,E,A,B,B,,,E,B,E,"C,E",E,E,"D,E","A,D","A,C","C,E",E,C,A,D,B,B,D,E,E,B,C,E,C,A,C,B,B,D,B,E,C,"D,E",C,A,E,B,D,C,E,A,D,B,C,C,B,D,"A,E",E,D,C,B,A,A,B,C,"C,D",E,D,B,D,C,,,,,,,,,,
2126,6,C,D,A,E,D,,A,E,C,A,D,D,A,E,E,D,E,C,D,D,A,A,D,C,B,C,A,D,D,C,B,E,B,D,B,A,D,D,E,A,D,C,A,E,E,A,C,E,A,C,B,A,D,B,D,C,B,B,C,D,C,B,C,B,E,C,D,C,D,C,D,C,D,D,,D,B,C,D,B,,,,,,,,,,
2127,6,C,B,D,E,D,A,B,E,C,D,D,A,B,D,A,D,E,D,E,A,B,B,A,B,E,E,A,D,E,C,E,D,A,C,A,E,D,B,C,D,E,D,C,A,B,B,"A,C",E,D,C,E,D,C,E,A,B,C,C,C,D,A,E,C,D,B,E,D,C,A,B,D,A,E,D,C,D,B,E,A,C,,,,,,,,,,
2128,6,C,B,A,B,C,E,C,D,C,A,D,D,C,B,D,C,C,B,D,D,B,B,A,A,D,A,B,D,C,D,A,B,C,C,E,D,B,B,B,C,D,D,D,A,B,B,B,A,D,A,C,B,C,B,C,B,A,A,D,A,A,B,C,C,B,C,B,D,D,B,D,A,C,E,C,A,B,A,B,A,,,,,,,,,,
2130,6,C,D,A,B,B,A,A,E,C,A,D,B,A,B,B,A,E,E,B,B,C,B,A,D,A,B,B,A,D,A,D,B,E,D,B,D,A,C,B,A,B,A,D,C,B,A,B,E,A,C,A,B,C,C,E,D,B,D,D,A,C,E,C,A,B,C,B,A,A,B,C,E,C,B,A,B,B,B,B,A,,,,,,,,,,
2131,6,C,D,B,B,B,D,A,C,C,C,D,C,A,C,C,B,C,A,B,D,C,B,A,E,D,C,B,B,C,A,B,D,E,B,B,C,A,B,C,B,C,D,E,B,B,E,E,A,C,D,"A,B",D,A,D,A,C,A,C,E,A,D,B,B,E,D,C,D,E,C,D,C,A,B,A,A,B,B,A,B,B,,,,,,,,,,
2132,6,C,D,B,B,C,E,B,C,C,A,D,B,C,C,A,A,B,D,B,C,C,A,C,B,E,D,E,A,A,D,E,B,C,A,E,B,C,B,E,D,A,C,D,E,C,B,D,E,B,C,E,B,B,A,D,B,C,D,D,D,A,C,E,B,A,D,D,B,D,E,C,A,A,E,D,C,A,B,C,D,,,,,,,,,,
2133,6,C,D,B,B,B,E,A,E,C,A,D,A,E,E,B,E,A,B,D,B,C,B,E,E,E,A,E,E,D,E,E,E,E,B,B,E,C,E,,B,B,A,E,C,B,A,A,E,E,"A,B",B,D,D,E,B,D,B,D,E,A,A,B,D,A,E,C,A,B,C,D,D,A,C,E,B,E,B,B,B,E,,,,,,,,,,
2137,6,C,D,B,B,B,D,A,D,C,A,D,C,A,E,D,B,A,B,A,D,A,B,C,A,D,A,A,C,C,B,C,A,B,D,B,A,D,D,B,C,B,D,A,E,B,A,C,C,B,A,A,D,C,C,B,D,A,C,C,D,C,A,C,D,D,B,C,D,C,A,E,A,D,A,B,E,B,D,A,B,,,,,,,,,,
2138,6,C,D,D,C,B,B,C,"C,E",C,A,"B,D",C,C,B,A,C,C,E,A,B,C,B,C,B,A,C,B,E,D,A,C,E,E,A,C,B,B,D,D,B,C,B,A,C,B,D,B,D,C,D,B,C,B,C,B,C,C,B,A,D,C,B,C,C,E,B,A,E,B,D,D,B,C,B,C,B,C,D,B,C,,,,,,,,,,
2139,6,C,B,C,B,C,B,A,C,C,C,D,A,B,E,A,A,A,D,A,A,C,B,C,D,B,C,D,D,D,B,E,B,C,A,E,D,B,C,B,D,A,C,D,D,A,C,A,B,D,B,A,D,B,E,D,C,C,D,D,D,A,B,B,D,E,B,B,E,B,D,E,C,D,C,D,D,A,A,A,E,,,,,,,,,,
2150,6,C,B,C,B,A,C,,C,C,A,D,C,E,E,"A,D",D,A,A,E,B,E,C,A,E,D,C,B,A,B,A,B,B,B,D,C,A,B,E,A,B,D,A,,D,D,B,A,D,D,B,C,B,C,D,B,B,A,E,A,D,C,C,C,A,A,C,C,D,E,E,C,A,D,D,E,E,A,E,"D,E",E,,,,,,,,,,
2151,6,C,D,D,B,D,D,B,A,C,A,D,B,C,D,B,A,B,D,E,D,A,E,C,B,D,D,C,E,B,D,C,D,C,A,B,E,D,B,C,A,D,A,C,E,B,C,D,C,D,B,E,B,D,B,A,C,E,D,A,D,C,B,D,A,E,C,B,D,A,E,A,D,"B,E",C,B,C,"C,E",A,B,D,,,,,,,,,,
2152,6,C,D,D,B,D,D,B,A,C,A,D,A,C,D,A,C,E,B,C,B,A,C,B,C,A,D,A,C,D,B,C,D,A,E,B,,A,D,B,D,C,B,D,B,D,E,A,C,B,D,B,D,C,A,D,B,E,A,D,C,C,B,B,"A,D",B,A,E,C,C,D,B,D,A,C,D,D,B,D,A,B,,,,,,,,,,
2154,6,E,D,C,B,A,E,E,A,C,E,D,A,C,D,C,E,A,E,B,B,A,D,E,C,B,C,E,D,B,B,C,B,A,D,B,E,D,E,B,D,B,E,E,C,A,D,B,E,C,A,A,B,C,B,A,E,B,E,D,A,B,C,C,A,E,C,B,D,D,E,A,A,B,C,D,C,E,D,A,D,,,,,,,,,,
2155,6,C,D,C,B,D,D,D,D,C,A,D,B,A,C,A,B,A,A,D,D,C,B,"B,C",D,B,C,D,A,A,A,E,D,A,A,B,D,A,D,B,D,B,D,B,B,C,A,E,C,B,D,"C,D",B,D,A,C,B,E,D,C,D,C,B,B,A,D,C,D,C,D,D,E,A,C,C,A,C,B,A,A,C,,,,,,,,,,
2156,6,C,D,E,C,B,D,A,D,C,A,D,A,A,C,A,B,D,B,D,D,A,A,C,D,B,C,B,A,B,A,B,A,A,B,A,D,B,D,B,D,B,D,D,A,A,D,"A,C",C,D,C,D,A,B,B,C,C,B,B,B,B,C,B,B,D,D,C,B,D,C,D,B,A,A,E,D,C,B,A,E,E,,,,,,,,,,
2162,6,C,D,,B,E,,,A,C,,D,D,,,E,B,C,,,,,,E,E,E,E,E,,,A,E,E,E,,E,,,E,,,,,,,,,,,,,C,B,C,A,B,B,A,A,E,A,C,B,B,D,B,C,D,D,D,E,C,D,C,,,,,,,,,,,,,,,,,
2165,6,A,B,D,D,A,C,A,E,C,C,D,D,C,E,E,B,E,B,A,B,D,B,A,D,B,C,B,D,B,A,E,D,"C,D",B,A,B,C,E,B,E,C,D,C,D,D,D,C,A,B,C,"A,B",A,C,E,B,B,C,A,E,A,C,B,E,C,D,C,B,C,C,E,,,,,,,,,,E,,,,,,,,,,
2168,6,C,D,B,B,A,E,A,A,C,A,D,C,E,D,C,B,A,E,B,A,B,B,C,D,C,C,B,D,A,C,B,B,E,A,E,E,C,E,B,A,A,C,E,E,C,B,A,D,B,A,A,B,C,E,D,A,D,,C,A,A,B,B,A,B,C,D,C,D,D,,C,D,A,A,B,C,E,A,C,,,,,,,,,,
2169,6,C,D,E,E,C,E,B,C,C,B,D,C,D,B,C,C,E,B,D,D,C,A,B,A,D,A,B,D,B,E,C,B,D,A,D,D,E,B,A,C,D,C,D,C,E,B,C,C,A,C,B,B,D,A,B,B,E,A,C,B,E,B,B,C,D,C,B,B,D,B,C,E,C,A,B,D,C,B,B,C,,,,,,,,,,
2170,6,C,C,B,B,D,B,A,C,D,D,D,A,B,E,A,D,C,C,A,A,A,D,E,A,D,B,B,D,C,D,A,B,C,A,A,B,B,D,B,C,B,D,A,E,D,B,C,A,D,B,C,A,B,C,D,B,D,B,C,B,B,A,C,D,B,D,C,D,A,C,D,B,C,A,B,C,D,B,C,A,,,,,,,,,,
2171,6,C,C,"B,D",C,B,E,A,C,C,A,D,A,C,E,"A,B",B,C,B,A,D,C,B,E,E,E,"A,C",B,D,D,E,C,A,E,D,A,E,E,D,B,A,E,D,E,E,E,E,D,C,"B,D","A,B,E",B,D,A,C,C,D,B,A,E,C,E,E,C,A,E,C,C,D,C,C,B,E,C,D,E,B,E,C,D,E,,,,,,,,,,
2172,6,A,E,E,C,B,C,D,C,"B,C",B,D,D,D,C,A,C,B,B,E,C,D,D,C,D,C,C,A,D,D,B,C,C,C,C,"A,D",D,E,B,B,E,C,D,C,D,C,B,,A,C,D,"A,D",E,B,D,E,A,A,C,E,E,,B,B,C,A,B,C,,A,,C,,,B,C,"B,D",D,D,B,E,,,,,,,,,,
2173,6,C,A,A,A,C,C,B,E,B,C,A,A,A,B,A,B,C,B,D,A,E,C,E,B,B,E,D,C,A,B,B,C,E,D,A,E,E,D,C,D,D,C,C,B,C,A,B,E,C,B,B,D,B,A,A,E,C,C,E,C,D,B,D,E,A,E,D,E,B,E,C,C,E,B,A,C,B,C,D,E,,,,,,,,,,
2174,6,C,D,A,B,B,D,B,C,C,D,D,C,A,D,E,D,A,D,A,B,A,E,C,D,B,A,B,D,A,D,C,A,A,D,A,D,C,D,C,D,C,C,E,D,B,A,B,C,C,B,A,B,D,A,C,A,E,E,D,C,C,A,C,A,D,C,A,D,B,B,E,A,C,E,D,E,E,B,E,C,,,,,,,,,,
2177,6,C,D,C,B,A,E,D,A,A,D,D,A,A,C,A,D,B,A,B,D,D,C,C,A,A,C,A,D,A,C,B,B,D,D,B,A,C,C,B,A,D,A,C,A,D,C,A,A,D,C,D,B,A,E,B,A,A,E,C,B,B,B,C,C,C,A,B,A,E,B,A,D,B,D,C,A,D,A,C,D,,,,,,,,,,
2178,6,C,D,B,A,B,A,B,D,C,A,D,C,A,A,B,A,A,B,C,C,C,D,C,D,B,D,A,A,B,B,E,B,D,E,B,D,C,E,A,A,A,D,E,C,D,E,E,C,E,D,E,B,B,A,B,C,E,B,B,A,E,B,C,C,A,C,B,A,D,E,B,A,C,B,E,A,C,D,A,C,,,,,,,,,,
2179,6,C,D,D,B,B,D,C,C,C,B,D,B,C,D,E,B,A,B,C,B,C,B,B,C,B,C,B,B,C,A,B,B,C,D,B,B,B,C,A,A,D,D,B,C,B,B,D,A,C,B,B,B,C,E,C,A,D,A,C,D,B,B,B,C,D,C,B,D,A,C,B,C,C,D,A,A,C,B,A,C,,,,,,,,,,
2180,6,C,B,A,B,B,D,A,B,C,A,D,A,D,D,A,C,A,E,D,A,C,B,C,D,B,A,B,B,B,C,C,C,D,D,B,D,D,A,B,B,A,D,A,D,B,A,D,C,C,A,B,A,C,E,B,C,A,D,B,"D,E",C,D,D,E,B,C,D,E,D,B,B,C,E,B,E,E,A,B,C,C,,,,,,,,,,
2181,6,C,B,B,A,E,D,B,C,C,A,D,C,A,E,A,A,D,D,D,"B,C",C,A,B,D,B,A,A,A,,D,C,C,A,A,B,A,B,D,C,A,A,D,A,A,B,B,A,C,D,C,B,E,C,A,B,A,C,B,B,B,B,A,B,A,B,B,B,C,C,D,C,A,B,C,D,C,A,C,D,C,,,,,,,,,,
2182,6,C,D,B,B,A,C,A,E,C,A,D,A,A,A,A,B,A,"C,D",A,B,B,E,E,D,A,D,B,D,A,D,B,C,E,A,B,,B,E,E,A,C,D,B,C,C,D,A,A,B,C,A,E,C,B,A,D,B,D,C,A,C,D,C,"B,E",B,B,A,B,E,D,A,E,E,A,B,C,B,D,E,C,,,,,,,,,,
2183,6,C,D,B,B,A,A,C,D,C,A,D,C,D,B,D,B,C,D,A,B,B,B,C,E,C,C,A,C,B,E,C,B,B,A,C,,D,E,B,B,B,C,D,A,D,B,C,C,E,E,C,A,B,A,D,C,A,D,C,"B,D",C,B,C,A,E,B,A,C,D,E,C,A,C,C,B,E,E,D,C,C,,,,,,,,,,
2184,6,D,B,A,B,C,A,C,C,A,A,A,A,B,D,A,B,A,B,A,E,A,C,B,C,B,A,B,D,C,E,C,D,C,E,C,A,B,B,A,A,A,B,C,C,B,A,B,C,D,E,B,C,D,E,D,C,B,A,B,C,C,B,B,C,D,D,C,B,B,C,D,D,B,C,B,C,C,B,B,A,,,,,,,,,,
2185,6,A,D,A,E,A,E,A,E,C,D,D,D,D,C,A,E,A,B,B,B,B,C,E,D,E,C,"A,D",A,C,C,B,B,D,C,B,A,C,D,C,B,B,C,A,C,C,B,C,A,D,B,A,A,C,A,B,D,A,C,B,D,A,C,B,C,D,C,B,C,A,A,C,B,A,A,B,C,C,B,C,D,,,,,,,,,,
2187,6,C,C,A,B,A,A,C,D,E,A,D,A,D,D,A,B,C,D,C,B,C,B,C,D,C,B,D,A,D,B,D,B,D,B,C,B,A,A,B,C,A,C,D,B,D,A,B,C,C,B,D,C,B,E,C,B,D,C,D,E,C,B,C,B,C,"B,D",D,B,C,B,D,C,B,B,A,B,C,C,B,C,,,,,,,,,,
2188,6,D,C,B,A,B,C,D,E,C,B,D,A,C,A,B,C,D,D,C,A,D,D,A,D,A,B,A,A,D,C,B,A,D,A,B,C,D,A,E,C,D,E,C,E,B,C,D,E,B,D,D,C,E,E,E,C,B,D,C,A,B,E,A,D,E,C,"B,D",C,E,E,E,B,C,C,E,C,D,A,A,D,,,,,,,,,,
2194,6,C,D,B,D,B,A,D,C,C,B,D,B,E,E,C,B,C,D,A,D,C,A,D,A,B,C,D,A,B,B,D,C,C,C,A,A,B,B,"B,C",B,A,A,B,B,A,A,B,B,C,C,D,D,C,C,D,D,A,B,C,D,A,B,C,D,E,D,C,B,A,B,C,D,E,D,C,B,A,B,C,D,,,,,,,,,,
2196,6,C,C,A,D,D,B,B,A,E,A,E,C,A,E,A,A,B,B,C,B,A,B,A,B,B,B,A,B,C,E,B,B,D,D,B,D,D,D,B,A,C,D,A,D,B,A,B,E,B,B,B,A,D,A,A,A,C,C,A,D,B,B,C,C,A,C,A,B,A,A,C,A,B,C,B,C,D,E,A,B,,,,,,,,,,
2205,6,C,D,C,B,D,D,C,E,B,A,C,B,D,C,B,D,"C,D",D,B,D,E,C,A,D,E,A,C,B,C,D,B,C,A,"C,E",D,B,C,E,B,A,B,B,D,B,E,C,D,C,A,B,D,B,C,,B,D,A,A,D,B,A,B,"B,D",D,C,B,A,D,C,B,E,E,C,B,C,D,C,D,C,E,,,,,,,,,,
2206,6,C,D,C,B,D,C,C,D,C,A,D,A,E,B,A,B,C,B,D,A,B,C,C,A,B,B,A,A,C,B,B,B,D,A,C,A,C,B,D,C,D,D,C,C,B,E,C,B,A,D,C,E,D,C,D,B,B,D,E,D,C,D,D,D,A,E,B,C,E,C,D,D,E,D,C,E,A,C,C,C,,,,,,,,,,
2208,6,B,A,C,C,A,C,C,C,D,B,C,C,B,D,A,A,E,D,C,A,D,D,C,D,B,C,D,D,C,B,B,C,A,C,A,C,C,D,B,C,D,C,D,C,B,C,C,E,C,B,A,B,C,B,B,B,B,C,B,E,D,E,A,A,E,A,D,B,E,A,C,E,B,B,A,C,D,C,E,A,,,,,,,,,,
2209,6,C,D,D,B,A,A,A,B,A,A,D,A,A,C,B,C,E,D,C,E,A,C,B,D,B,A,D,C,A,A,D,B,A,B,D,C,B,D,C,B,E,C,B,"A,C",A,D,B,C,B,D,C,D,A,C,D,A,D,B,D,B,D,B,C,D,C,D,C,B,C,B,C,D,C,A,D,B,D,A,D,C,,,,,,,,,,
2210,6,C,D,A,B,D,D,C,D,C,A,D,A,D,C,A,B,A,B,D,A,C,A,C,D,B,D,B,C,B,D,C,D,B,A,A,D,A,D,C,A,D,D,D,C,B,A,D,D,B,E,C,E,C,A,A,B,C,E,E,D,C,A,"B,D",D,E,E,D,B,C,B,A,B,B,D,B,B,E,E,A,D,,,,,,,,,,
2214,6,A,D,C,A,C,A,C,C,A,A,B,B,B,C,A,A,E,B,A,A,D,C,C,B,B,C,B,D,B,D,B,A,C,B,C,A,C,B,B,D,B,D,E,C,B,A,C,B,C,D,A,A,A,A,D,C,A,A,"D,E",D,A,B,B,C,A,E,B,D,E,D,D,A,C,B,B,D,A,B,B,A,,,,,,,,,,
2215,6,C,D,E,B,D,D,A,D,C,A,D,C,B,E,D,B,A,C,,C,B,C,E,A,B,E,A,D,B,B,E,C,D,A,E,A,B,C,C,A,D,A,D,B,D,"A,B",A,A,C,E,A,B,B,D,C,B,B,E,D,A,E,B,B,C,D,C,C,B,D,D,B,A,A,B,C,C,B,D,E,D,,,,,,,,,,
2233,6,C,D,,B,B,C,C,C,C,A,D,A,C,A,A,B,C,B,D,B,C,B,C,D,B,D,D,B,C,D,C,B,B,D,B,D,C,A,D,B,D,C,D,C,C,A,C,A,C,B,D,"B,C",C,A,B,C,E,A,B,B,B,A,C,A,B,E,A,C,B,C,A,D,C,B,A,D,D,A,"A,B",D,,,,,,,,,,
2234,6,C,D,A,E,A,E,C,C,A,C,B,A,C,B,A,C,A,C,B,D,D,A,C,B,D,A,B,C,D,A,D,A,C,B,D,A,D,C,D,E,C,D,B,A,C,D,E,A,D,C,E,A,C,A,D,E,B,B,A,D,B,E,D,A,D,B,C,E,A,C,B,C,A,D,B,A,D,B,D,C,,,,,,,,,,
2235,6,C,D,B,D,B,C,B,C,E,,C,B,C,A,A,C,,E,C,D,C,C,A,B,A,B,D,E,D,B,A,E,B,A,D,B,C,C,E,A,B,C,A,E,D,C,B,A,E,B,C,E,C,C,E,A,C,D,A,D,A,B,C,A,B,C,D,E,D,C,B,A,B,C,D,E,D,C,B,A,,,,,,,,,,
2241,6,C,D,C,B,B,C,A,C,C,A,D,D,A,D,B,D,A,A,C,D,C,B,C,A,D,A,A,B,D,D,D,A,C,D,A,D,B,C,B,D,A,C,B,C,B,D,A,B,D,A,C,B,B,E,A,A,E,E,C,A,B,C,B,A,B,C,D,D,C,D,C,C,E,B,"A,D",B,E,C,A,D,,,,,,,,,,
2249,6,C,D,B,B,B,E,A,D,C,A,D,B,C,E,A,B,A,A,B,D,C,E,D,E,C,A,A,B,C,A,C,D,C,B,B,A,B,C,D,"A,C",C,E,D,B,C,B,B,D,A,E,C,D,C,D,A,B,E,D,C,B,D,C,B,B,A,D,B,C,D,C,A,A,C,A,D,E,C,D,B,E,,,,,,,,,,
2250,6,C,D,B,C,B,D,C,C,B,A,D,C,C,B,A,D,E,A,A,B,B,A,C,A,B,C,A,A,A,B,C,C,A,D,E,D,A,E,B,D,C,C,A,C,B,A,A,C,B,A,"B,C",A,B,C,C,A,B,D,C,A,C,D,C,A,A,C,A,C,C,B,A,A,A,B,B,A,B,D,A,C,,,,,,,,,,
2252,6,D,D,C,C,D,C,E,C,C,B,B,C,B,E,A,B,A,A,A,A,D,B,A,C,C,D,C,D,C,B,B,C,C,C,D,D,C,D,B,C,C,C,C,B,D,C,C,A,C,C,C,C,C,D,C,E,D,D,C,D,C,D,C,C,C,C,C,D,C,C,D,C,C,C,B,B,D,B,C,E,,,,,,,,,,
2253,6,C,D,B,B,B,C,A,E,C,A,D,A,A,E,E,A,D,A,C,C,C,D,C,D,A,A,D,A,A,D,D,B,D,D,B,A,A,E,A,A,C,C,C,D,D,C,C,D,D,C,D,C,B,B,C,C,A,C,D,A,E,B,A,D,B,E,A,B,D,B,B,B,C,B,C,B,C,C,B,C,,,,,,,,,,
2254,6,C,D,B,B,B,B,B,C,D,A,D,A,C,E,B,C,B,A,A,B,C,B,C,B,C,E,E,B,E,C,E,E,E,"B,D",B,D,C,C,B,A,D,D,C,A,D,B,C,B,D,A,A,D,C,A,C,D,E,E,C,C,D,B,D,C,E,C,D,C,C,B,E,C,C,A,D,A,C,A,A,C,,,,,,,,,,
2255,6,E,A,A,B,B,E,,C,C,A,D,D,D,E,A,B,E,E,C,C,E,B,C,E,C,E,E,C,C,A,C,B,A,A,A,E,E,D,B,E,E,C,D,E,E,A,A,,E,B,D,D,E,D,D,E,B,E,A,D,A,B,C,C,E,E,C,C,B,C,A,B,D,B,E,E,B,A,A,D,,,,,,,,,,
2256,6,C,D,B,B,B,D,A,C,C,A,D,B,C,E,C,D,A,D,A,D,C,E,A,B,A,C,E,D,B,E,B,D,D,B,D,B,C,B,A,D,A,B,D,B,C,B,D,D,A,A,C,C,E,C,C,E,E,D,C,E,A,C,B,C,D,C,D,C,D,C,D,"B,C",B,B,D,C,D,A,B,D,,,,,,,,,,
2258,6,C,D,C,D,D,B,C,E,C,D,C,D,C,C,A,C,D,C,C,C,D,B,C,D,B,A,B,D,E,D,C,C,B,C,E,C,D,E,C,D,C,D,A,C,D,A,C,D,B,C,D,D,D,E,C,A,D,B,C,A,B,"A,B,E",A,D,E,D,D,A,A,C,C,B,C,D,D,C,E,A,C,E,,,,,,,,,,
2259,6,C,,C,D,C,A,,D,,A,D,C,A,A,B,C,D,C,D,D,A,B,C,A,D,B,A,C,A,B,A,B,D,A,C,D,D,C,B,A,B,C,D,A,B,C,C,D,B,,B,A,C,A,B,C,B,A,A,C,C,B,B,A,A,C,B,B,D,A,C,,C,A,C,B,"C,D",,B,C,,,,,,,,,,
2260,6,B,D,B,B,D,C,A,D,C,A,D,C,C,D,B,B,,A,A,B,C,B,C,D,B,B,E,B,C,A,E,C,D,A,E,B,C,E,D,B,C,A,B,C,B,C,B,C,C,D,D,B,B,C,C,E,E,D,A,B,C,B,C,B,A,C,D,C,C,C,B,C,C,D,C,D,C,B,D,D,,,,,,,,,,
2262,6,C,D,D,B,C,D,B,D,C,A,D,C,A,C,A,B,B,C,C,C,B,D,B,D,B,A,A,C,D,B,B,C,D,A,C,C,E,D,C,D,B,C,D,C,A,A,C,B,D,B,B,E,A,B,B,B,E,A,A,D,C,A,D,A,A,C,C,B,C,D,C,B,C,D,A,C,A,A,A,E,,,,,,,,,,
2263,6,C,D,B,A,D,B,D,C,A,B,A,A,E,E,A,C,B,B,C,C,A,E,C,B,B,C,B,D,B,C,B,C,E,B,C,B,C,A,C,B,A,B,C,B,C,C,B,C,B,C,B,C,A,B,C,D,C,B,D,"B,C",B,A,B,B,B,B,A,C,B,C,D,B,C,A,D,C,C,D,B,A,,,,,,,,,,
2264,6,C,D,"A,D",B,A,D,A,C,C,A,D,E,A,D,B,B,A,D,D,C,B,A,B,D,A,C,B,"A,D",D,C,B,A,A,C,A,D,D,C,B,A,D,C,A,A,C,D,B,C,B,A,B,D,B,C,A,D,B,A,A,D,C,B,B,D,A,B,D,C,D,B,A,A,D,C,A,B,C,D,B,C,,,,,,,,,,
2265,6,C,D,D,B,D,B,C,C,A,B,D,A,B,E,B,B,A,D,B,B,A,A,B,C,B,C,B,B,D,E,D,A,B,A,B,C,B,C,D,A,D,D,C,D,B,D,C,E,D,C,A,B,C,D,C,D,B,C,D,D,C,B,C,A,C,C,D,A,D,B,C,C,D,D,B,D,C,D,B,C,,,,,,,,,,
2266,6,C,D,E,B,C,D,A,,C,D,D,C,B,C,A,,B,C,D,B,C,E,C,A,D,,A,D,C,B,D,E,,B,A,B,B,C,A,A,D,D,C,A,C,A,D,D,B,C,A,B,B,,A,A,B,D,B,D,C,E,C,D,A,B,D,B,D,C,B,,A,B,D,A,C,D,B,A,,,,,,,,,,
2267,6,C,D,B,B,B,E,B,C,A,B,D,D,C,C,A,A,C,B,A,D,B,A,B,A,C,D,E,E,C,C,A,B,C,D,E,D,C,E,D,E,B,A,E,A,E,C,E,D,C,B,D,E,C,A,B,A,B,A,C,E,A,B,C,C,E,C,B,B,D,D,C,A,C,D,C,D,C,A,B,C,,,,,,,,,,
2268,6,C,B,A,"A,D",B,B,C,A,"A,B",D,C,C,C,A,A,B,B,B,D,A,E,A,A,B,A,C,C,C,C,A,A,D,,C,B,D,A,E,A,C,A,B,E,C,E,A,B,C,B,B,D,E,C,D,B,C,B,A,C,A,B,C,"C,D",C,,C,C,A,C,C,D,C,B,C,C,D,,D,B,A,,,,,,,,,,
2269,6,C,D,A,B,"A,B",B,C,D,C,D,D,D,B,A,E,D,D,A,D,B,C,D,A,A,A,B,B,B,"B,D",A,B,C,C,B,C,C,B,C,"C,E",A,C,D,D,A,C,A,A,D,C,C,C,B,D,A,C,B,A,D,A,A,C,A,C,C,A,C,A,C,C,D,C,C,C,B,A,A,A,B,A,C,,,,,,,,,,
2270,6,C,D,A,B,B,B,"C,D",C,C,D,C,C,D,"A,D","A,D",A,E,D,A,C,B,E,C,B,B,A,A,A,D,B,B,B,C,B,C,E,,D,A,D,B,C,D,C,A,A,C,E,B,D,B,E,B,A,E,C,E,B,B,C,A,B,C,D,E,D,C,B,A,B,B,D,E,C,A,B,C,D,E,A,,,,,,,,,,
2271,6,C,D,B,B,E,D,A,D,C,A,D,D,A,E,D,B,B,C,C,D,C,B,E,E,E,E,B,A,B,D,C,A,E,B,A,C,E,E,D,B,E,C,D,C,B,B,D,E,D,C,A,D,B,E,E,C,A,C,D,B,E,D,E,D,B,C,E,D,B,E,B,A,D,B,C,E,D,C,B,C,,,,,,,,,,
2272,6,C,A,D,B,B,D,D,E,C,D,D,D,C,B,A,B,E,A,B,A,E,B,D,A,A,C,E,C,D,D,A,C,E,B,C,C,B,C,B,B,C,D,B,E,B,D,D,C,A,E,D,B,D,B,C,D,A,C,B,D,C,B,C,B,A,C,B,A,D,C,A,D,A,C,D,A,B,D,A,C,,,,,,,,,,
